iter	Passed	Remaining
0	0	435
1	1	426
2	1	400
3	2	403
4	2	398
5	3	373
6	3	389
7	4	424
8	5	445
9	5	443
10	6	454
11	7	476
12	8	483
13	9	473
14	9	462
15	9	453
16	10	446
17	10	437
18	11	430
19	11	425
20	12	418
21	12	413
22	12	408
23	13	402
24	13	398
25	14	394
26	14	390
27	14	386
28	15	383
29	15	380
30	16	377
31	16	376
32	17	376
33	18	395
34	19	395
35	19	392
36	20	390
37	20	388
38	21	384
39	21	382
40	21	380
41	22	377
42	22	375
43	23	372
44	23	371
45	24	369
46	24	367
47	25	365
48	25	363
49	25	362
50	26	361
51	26	360
52	27	357
53	27	355
54	27	353
55	28	352
56	28	351
57	29	352
58	30	351
59	30	350
60	30	350
61	31	349
62	32	349
63	32	349
64	33	348
65	35	364
66	35	363
67	36	363
68	36	361
69	37	360
70	37	358
71	37	357
72	38	357
73	38	355
74	39	354
75	39	352
76	40	351
77	40	350
78	41	349
79	41	348
80	41	346
81	42	345
82	42	344
83	43	343
84	43	341
85	44	340
86	44	339
87	45	338
88	45	337
89	45	336
90	46	334
91	46	333
92	47	332
93	47	332
94	50	344
95	51	347
96	51	346
97	52	346
98	52	345
99	52	344
100	53	343
101	53	342
102	54	342
103	54	340
104	55	340
105	55	339
106	56	339
107	56	338
108	57	337
109	57	336
110	58	335
111	58	334
112	58	332
113	59	331
114	59	330
115	60	329
116	60	328
117	61	328
118	61	327
119	62	325
120	62	324
121	62	324
122	65	331
123	65	331
124	66	332
125	66	331
126	67	330
127	67	329
128	68	328
129	68	327
130	69	326
131	69	325
132	70	325
133	70	324
134	70	323
135	71	323
136	71	322
137	72	321
138	72	320
139	73	318
140	73	317
141	73	316
142	74	315
143	74	314
144	75	313
145	75	312
146	75	311
147	76	310
148	76	309
149	77	309
150	77	308
151	79	312
152	79	311
153	80	310
154	80	309
155	81	309
156	81	308
157	82	307
158	82	306
159	82	305
160	83	305
161	84	304
162	84	304
163	84	303
164	85	302
165	85	301
166	86	301
167	86	300
168	87	299
169	87	298
170	87	297
171	88	297
172	88	296
173	89	295
174	89	294
175	90	293
176	90	293
177	90	292
178	91	290
179	91	290
180	92	289
181	93	290
182	93	290
183	94	291
184	95	291
185	96	291
186	96	291
187	97	290
188	97	290
189	98	289
190	98	288
191	99	287
192	99	287
193	100	286
194	100	286
195	100	285
196	101	284
197	101	283
198	101	282
199	102	281
200	102	281
201	103	280
202	103	280
203	104	279
204	104	278
205	105	278
206	106	278
207	106	278
208	107	278
209	108	278
210	108	277
211	109	276
212	109	276
213	110	275
214	110	275
215	112	277
216	112	276
217	113	276
218	113	275
219	114	275
220	114	274
221	115	274
222	116	274
223	116	273
224	117	273
225	117	272
226	118	272
227	118	272
228	119	271
229	119	270
230	120	270
231	122	273
232	123	274
233	124	273
234	124	273
235	124	272
236	125	271
237	125	270
238	126	270
239	126	269
240	127	268
241	127	267
242	128	267
243	128	266
244	129	266
245	129	266
246	130	265
247	130	265
248	131	264
249	132	264
250	132	263
251	133	263
252	133	262
253	134	262
254	135	262
255	135	261
256	137	262
257	137	262
258	138	261
259	138	260
260	138	260
261	139	259
262	139	258
263	140	258
264	140	257
265	141	256
266	141	256
267	142	255
268	142	254
269	143	254
270	143	253
271	144	253
272	144	252
273	145	252
274	145	251
275	146	250
276	146	250
277	146	249
278	147	248
279	147	248
280	148	247
281	148	246
282	149	245
283	149	245
284	150	244
285	150	244
286	151	243
287	152	244
288	153	244
289	153	243
290	154	243
291	154	242
292	155	242
293	155	241
294	156	240
295	156	239
296	156	239
297	157	238
298	157	238
299	158	237
300	158	236
301	159	235
302	159	235
303	159	234
304	160	233
305	160	233
306	161	232
307	161	231
308	161	231
309	162	230
310	162	229
311	163	229
312	163	228
313	163	227
314	164	227
315	165	226
316	165	226
317	168	229
318	169	228
319	169	228
320	170	227
321	170	226
322	170	225
323	171	225
324	171	224
325	172	224
326	172	223
327	173	222
328	173	222
329	174	222
330	174	221
331	175	220
332	175	219
333	176	219
334	176	218
335	176	217
336	177	216
337	177	216
338	177	215
339	178	214
340	178	214
341	179	213
342	179	213
343	179	212
344	180	211
345	181	211
346	181	211
347	182	210
348	183	210
349	183	210
350	184	209
351	184	208
352	185	208
353	185	207
354	186	207
355	186	206
356	187	206
357	187	205
358	188	205
359	188	204
360	189	204
361	189	203
362	190	202
363	190	202
364	191	201
365	191	200
366	192	200
367	192	199
368	192	199
369	193	198
370	194	198
371	194	197
372	196	198
373	197	198
374	197	197
375	198	197
376	199	197
377	199	196
378	200	196
379	200	195
380	201	194
381	201	194
382	202	193
383	202	193
384	203	192
385	203	192
386	204	191
387	204	190
388	205	190
389	205	189
390	205	188
391	206	188
392	206	187
393	206	187
394	207	186
395	207	185
396	208	185
397	208	184
398	209	184
399	209	183
400	210	183
401	211	183
402	212	182
403	212	182
404	213	181
405	213	181
406	214	180
407	215	180
408	215	179
409	216	179
410	216	178
411	216	178
412	217	177
413	217	176
414	218	176
415	218	175
416	219	174
417	219	174
418	220	173
419	220	173
420	220	172
