iter	Passed	Remaining
0	228	227869
1	391	195190
2	536	178304
3	702	174807
4	871	173460
5	1038	171968
6	1222	173364
7	1416	175607
8	1567	172574
9	1710	169348
10	1852	166526
11	1989	163820
12	2128	161618
13	2266	159645
14	2402	157757
15	2546	156617
16	2681	155080
17	2823	154059
18	2958	152769
19	3096	151750
20	3234	150775
21	3375	150038
22	3510	149121
23	3652	148519
24	3789	147786
25	3925	147040
26	4064	146482
27	4252	147611
28	4582	153424
29	4781	154614
30	4923	153893
31	5112	154652
32	5259	154116
33	5403	153509
34	5545	152888
35	5730	153454
36	5874	152896
37	6013	152229
38	6157	151729
39	6309	151423
40	6446	150779
41	6593	150396
42	6743	150072
43	6881	149517
44	7023	149053
45	7159	148477
46	7302	148070
47	7441	147590
48	7580	147114
49	7722	146718
50	7868	146417
51	8012	146068
52	8461	151190
53	8864	155298
54	9003	154704
55	9139	154064
56	9271	153382
57	9414	152903
58	9553	152367
59	9691	151832
60	9836	151411
61	9970	150846
62	10106	150321
63	10243	149814
64	10380	149321
65	10522	148903
66	10657	148408
67	10794	147953
68	10927	147436
69	11062	146976
70	11196	146494
71	11330	146041
72	11473	145702
73	11608	145264
74	11745	144858
75	11887	144521
76	12027	144173
77	12160	143738
78	12300	143398
79	12433	142984
80	12570	142625
81	12726	142474
82	12876	142264
83	13013	141908
84	13151	141572
85	13294	141288
86	13431	140955
87	13600	140948
88	13739	140636
89	13884	140383
90	14024	140093
91	14167	139825
92	14303	139501
93	14441	139188
94	14574	138842
95	14710	138521
96	14844	138187
97	14983	137910
98	15117	137582
99	15262	137363
100	15410	137165
101	15550	136902
102	15719	136898
103	15855	136604
104	15993	136322
105	16127	136021
106	16261	135718
107	16396	135426
108	16535	135164
109	16669	134869
110	16804	134588
111	16936	134286
112	17073	134023
113	17208	133742
114	17347	133503
115	17485	133255
116	17623	133001
117	17759	132746
118	17893	132474
119	18031	132230
120	18166	131967
121	18305	131739
122	18450	131552
123	18587	131314
124	18728	131097
125	18865	130860
126	19000	130607
127	19139	130391
128	19270	130111
129	19405	129864
130	19539	129616
131	19672	129362
132	19808	129126
133	19943	128887
134	20074	128627
135	20206	128370
136	20346	128168
137	20482	127940
138	20614	127693
139	20750	127465
140	20882	127221
141	21018	126997
142	21151	126761
143	21286	126536
144	21423	126327
145	21587	126270
146	21728	126084
147	21874	125923
148	22013	125730
149	22146	125499
150	22280	125274
151	22422	125094
152	22558	124883
153	22691	124654
154	22829	124458
155	22962	124234
156	23097	124022
157	23229	123793
158	23364	123581
159	23498	123364
160	23682	123413
161	23938	123829
162	24088	123695
163	24247	123602
164	24379	123377
165	24545	123318
166	24678	123097
167	24844	123039
168	24978	122821
169	25113	122612
170	25244	122384
171	25376	122160
172	25509	121945
173	25643	121731
174	25775	121514
175	25904	121279
176	26036	121060
177	26166	120836
178	26296	120609
179	26428	120396
180	26562	120189
181	26691	119965
182	26840	119826
183	27009	119780
184	27145	119586
185	27437	120077
186	27737	120589
187	27906	120533
188	28184	120940
189	28325	120758
190	28475	120610
191	28733	120920
192	28881	120765
193	29020	120569
194	29159	120375
195	29295	120169
196	29433	119975
197	29575	119794
198	29713	119598
199	29884	119536
200	30062	119504
201	30205	119327
202	30344	119137
203	30486	118956
204	30625	118768
205	30761	118566
206	30901	118380
207	31039	118187
208	31179	118003
209	31417	118188
210	31595	118144
211	31747	118006
212	31895	117848
213	32043	117691
214	32194	117547
215	32347	117409
216	32518	117336
217	32675	117210
218	32875	117240
